Número de Control,Tiempo Total en Minutos,Tiempo Total en Horas
17121264,1240,20.666666666666668
17121502,575,9.583333333333334
18120237,1450,24.166666666666668
16121399,945,15.75
18120226,620,10.333333333333334
18120229,1200,20.0
18120497,1245,20.75
18120511,1380,23.0
18120524,0,0.0
19120959,1460,24.333333333333332
18120220,515,8.583333333333334
16121031,1115,18.583333333333332
20121061,1355,22.583333333333332
19121019,1225,20.416666666666668
17121275,0,0.0
19120277,0,0.0
18120351,350,5.833333333333333
16121298,0,0.0
18120140,1190,19.833333333333332
18120234,915,15.25
19121055,945,15.75
18120091,1235,20.583333333333332
18120096,935,15.583333333333334
18120084,675,11.25
18120130,0,0.0
16140881,0,0.0
18120177,1345,22.416666666666668
19120813,0,0.0
18120061,1505,25.083333333333332
17120661,0,0.0
16040060,1330,22.166666666666668
19120770,0,0.0
16040037,1310,21.833333333333332
20121094,1060,17.666666666666668
20121094,1060,17.666666666666668
20121109,1385,23.083333333333332
E19121167,0,0.0
18121499,1395,23.25
18121518,1445,24.083333333333332
19121146,990,16.5
18120042,0,0.0
Ms0000006,0,0.0
17121058,0,0.0
19120270,0,0.0
17120375,990,16.5
17120329,945,15.75
20121078,1395,23.25
17120132,5,0.08333333333333333
16560351,0,0.0
17030306,0,0.0
19121101,0,0.0
20121079,1370,22.833333333333332
18121304,945,15.75
19121105,0,0.0
17120664,0,0.0
20120205,0,0.0
20121065,1340,22.333333333333332
16121019,0,0.0
18040276,1430,23.833333333333332
16120162,1380,23.0
20121108,1440,24.0
E20120902,0,0.0
17121562,0,0.0
18120351,350,5.833333333333333
19121040,1215,20.25
19121032,0,0.0
19121031,435,7.25
19121026,0,0.0
19121035,300,5.0
19121094,850,14.166666666666666
420666,0,0.0
19121176,0,0.0
19149800,535,8.916666666666666
19121046,0,0.0
19120377,0,0.0
19121196,0,0.0
19121065,1325,22.083333333333332
C18121671,0,0.0
19121169,1385,23.083333333333332
18121205,0,0.0
19121491,0,0.0
17121524,0,0.0
17121489,0,0.0
20121626,0,0.0
20121097,1535,25.583333333333332
20121099,1145,19.083333333333332
20121054,1160,19.333333333333332
l20121064,0,0.0
l20121064,0,0.0
l20121093,0,0.0
19121027,1590,26.5
20121083,1445,24.083333333333332
20120075,695,11.583333333333334
19121174,1520,25.333333333333332
19121228,1480,24.666666666666668
18121372,25,0.4166666666666667
20120398,1365,22.75
19121051,1285,21.416666666666668
16121060,1415,23.583333333333332
19121078,1220,20.333333333333332
19121004,565,9.416666666666666
19120854,1380,23.0
20120197,1390,23.166666666666668
19120198,1025,17.083333333333332
18120378,1485,24.75
19121174,1520,25.333333333333332
19121174,1520,25.333333333333332
17121207,100,1.6666666666666667
16121111,70,1.1666666666666667
17121437,1190,19.833333333333332
19121174,1520,25.333333333333332
19121174,1520,25.333333333333332
18120140,1190,19.833333333333332
17121172,1185,19.75
18120156,0,0.0
17121476,0,0.0
18120372,1300,21.666666666666668
17121529,1200,20.0
19121174,1520,25.333333333333332
M20121644,0,0.0
19121024,1525,25.416666666666668
19121030,1565,26.083333333333332
19121075,1365,22.75
19120997,1195,19.916666666666668
16121061,1310,21.833333333333332
16121057,970,16.166666666666668
19121174,1520,25.333333333333332
18121660,1165,19.416666666666668
18121586,1335,22.25
18121605,0,0.0
19121211,0,0.0
19121049,1020,17.0
18121487,855,14.25
19121039,1030,17.166666666666668
18121477,190,3.1666666666666665
19121028,1280,21.333333333333332
19121093,1270,21.166666666666668
19121003,225,3.75
19121001,1265,21.083333333333332
18120515,1240,20.666666666666668
18121304,945,15.75
18120507,1225,20.416666666666668
17120109,1050,17.5
20121073,345,5.75
20121097,1535,25.583333333333332
18121528,1310,21.833333333333332
18120215,945,15.75
15121383,0,0.0
20120876,1095,18.25
20121108,1440,24.0
18120196,0,0.0
19121174,1520,25.333333333333332
18121401,1250,20.833333333333332
17120213,1550,25.833333333333332
18121454,1525,25.416666666666668
18121438,1565,26.083333333333332
20121083,1445,24.083333333333332
18121415,1410,23.5
19120123,1580,26.333333333333332
19121174,1520,25.333333333333332
19121174,1520,25.333333333333332
18121419,1190,19.833333333333332
18121419,1190,19.833333333333332
18121457,0,0.0
19120293,1280,21.333333333333332
17121151,460,7.666666666666667
20120981,140,2.3333333333333335
18121246,930,15.5
18120507,1225,20.416666666666668
19120233,750,12.5
19120193,1485,24.75
17121380,0,0.0
18121499,1395,23.25
18120381,1200,20.0
18121649,930,15.5
19120144,750,12.5
19120119,785,13.083333333333334
19120761,990,16.5
15121437,0,0.0
19120112,995,16.583333333333332
20120211,1210,20.166666666666668
19121044,1210,20.166666666666668
19121156,475,7.916666666666667
19121117,10,0.16666666666666666
19121044,1210,20.166666666666668
19121156,475,7.916666666666667
16121223,0,0.0
18121237,705,11.75
17121108,0,0.0
18121661,0,0.0
19121063,1500,25.0
17121501,5,0.08333333333333333
18120106,740,12.333333333333334
19120303,1025,17.083333333333332
201848281,0,0.0
19120158,315,5.25
19121084,365,6.083333333333333
20121107,305,5.083333333333333
